img_size,img_number,preprocessing,model,model_params,accuracy_score,recall_score,f1_score,f2_score,roc_auc_score
128,100,sobel,RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.6363636363636364,0.7307692307692307,0.6129032258064516,0.6785714285714286,0.7225961538461538
128,100,sobel,LogisticRegression,"[[], {'max_iter': 1000}]",0.6818181818181818,0.8076923076923077,0.6666666666666666,0.7446808510638298,0.7115384615384616
128,100,sobel,LinearSVC,"[[], {'max_iter': 10000, 'random_state': 74}]",0.6363636363636364,0.7307692307692307,0.6129032258064516,0.6785714285714286,
128,100,orig_img,RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.696969696969697,0.6666666666666666,0.7222222222222222,0.6878306878306878,0.7858499525166193
128,100,orig_img,LogisticRegression,"[[], {'max_iter': 1000}]",0.6666666666666666,0.6153846153846154,0.6857142857142857,0.6417112299465241,0.6666666666666666
128,100,orig_img,LinearSVC,"[[], {'max_iter': 10000, 'random_state': 74}]",0.6666666666666666,0.6410256410256411,0.6944444444444444,0.6613756613756614,
128,2000,"orig_img, sobel, gabor",RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.6818181818181818,0.7105263157894737,0.72,0.7142857142857143,0.7175751879699248
128,2000,"orig_img, sobel, gabor",LogisticRegression,"[[], {'max_iter': 1000}]",0.6212121212121212,0.6842105263157895,0.6753246753246753,0.680628272251309,0.6597744360902256
128,2000,"orig_img, sobel, gabor",LinearSVC,"[[], {'max_iter': 10000, 'random_state': 74}]",0.6363636363636364,0.6842105263157895,0.6842105263157895,0.6842105263157895,
128,2000,"orig_img, sobel",RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.696969696969697,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.6806066176470589
128,2000,"orig_img, sobel",LogisticRegression,"[[], {'max_iter': 1000}]",0.696969696969697,0.6470588235294118,0.6875,0.6626506024096386,0.692095588235294
128,2000,"orig_img, sobel",LinearSVC,"[[], {'max_iter': 10000, 'random_state': 74}]",0.6666666666666666,0.6176470588235294,0.65625,0.6325301204819277,
128,2000,"orig_img, gabor",RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.6212121212121212,0.5526315789473685,0.6268656716417911,0.580110497237569,0.6842105263157894
128,2000,"orig_img, gabor",LogisticRegression,"[[], {'max_iter': 1000}]",0.6363636363636364,0.6578947368421053,0.6756756756756757,0.6648936170212766,0.7067669172932332
128,2000,"orig_img, gabor",LinearSVC,"[[], {'max_iter': 10000, 'random_state': 74}]",0.6363636363636364,0.6578947368421053,0.6756756756756757,0.6648936170212766,
128,2000,"sobel, gabor",RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.7272727272727273,0.7878787878787878,0.7428571428571429,0.7692307692307693,0.7869605142332415
128,2000,"sobel, gabor",LogisticRegression,"[[], {'max_iter': 1000}]",0.6060606060606061,0.6060606060606061,0.6060606060606061,0.6060606060606061,0.6078971533516988
128,2000,"sobel, gabor",LinearSVC,"[[], {'max_iter': 10000, 'random_state': 74}]",0.6060606060606061,0.6060606060606061,0.6060606060606061,0.6060606060606061,
128,2000,gabor,RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.6666666666666666,0.7241379310344828,0.65625,0.695364238410596,0.7353215284249767
128,2000,gabor,LogisticRegression,"[[], {'max_iter': 1000}]",0.7424242424242424,0.8275862068965517,0.7384615384615385,0.7894736842105263,0.7791239515377446
128,2000,gabor,LinearSVC,"[[], {'max_iter': 10000, 'random_state': 74}]",0.7272727272727273,0.7931034482758621,0.71875,0.7615894039735099,
128,2000,orig_img,RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.6515151515151515,0.53125,0.5964912280701754,0.5555555555555556,0.7587316176470588
128,2000,orig_img,LogisticRegression,"[[], {'max_iter': 1000}]",0.6818181818181818,0.71875,0.6865671641791045,0.7055214723926381,0.7573529411764706
128,2000,orig_img,LinearSVC,"[[], {'max_iter': 10000, 'random_state': 74}]",0.7121212121212122,0.71875,0.7076923076923077,0.7142857142857143,
128,2000,sobel,RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.7121212121212122,0.7142857142857143,0.6779661016949152,0.6993006993006993,0.7758458646616542
128,2000,sobel,LogisticRegression,"[[], {'max_iter': 1000}]",0.6363636363636364,0.6071428571428571,0.5862068965517241,0.5985915492957746,0.6964285714285714
128,2000,sobel,LinearSVC,"[[], {'max_iter': 10000, 'random_state': 74}]",0.6060606060606061,0.5714285714285714,0.5517241379310345,0.5633802816901409,
128,2000,equalize_hist,RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.7045454545454546,0.7335329341317365,0.7153284671532847,0.7261410788381742,0.7653603835274236
128,2000,equalize_hist,LogisticRegression,"[[], {'max_iter': 1000}]",0.6636363636363637,0.6197604790419161,0.6509433962264151,0.6318681318681318,0.7167260570882774
128,2000,equalize_hist,LinearSVC,"[[], {'max_iter': 10000, 'random_state': 74}]",0.6409090909090909,0.6077844311377245,0.6314152410575428,0.6170212765957447,
